iter	Passed	Remaining
564	7389	5689
565	7402	5675
566	7418	5665
567	7431	5651
568	7442	5637
569	7456	5625
570	7471	5613
571	7484	5600
572	7497	5586
573	7511	5574
574	7520	5558
575	7530	5543
576	7544	5531
577	7564	5522
578	7581	5512
579	7602	5505
580	7614	5490
581	7629	5479
582	7643	5467
583	7653	5451
584	7675	5445
585	7685	5429
586	7702	5419
587	7724	5412
588	7735	5397
589	7751	5386
590	7771	5378
591	7784	5365
592	7808	5359
593	7833	5354
594	7843	5338
595	7855	5324
596	7870	5313
597	7875	5294
598	7890	5282
599	7895	5263
600	7902	5246
601	7910	5230
602	7920	5214
603	7928	5198
604	7933	5179
605	7940	5162
606	7946	5144
607	7951	5126
608	7961	5111
609	7967	5094
610	7974	5076
611	7979	5059
612	7987	5042
613	7995	5026
614	8006	5012
615	8015	4996
616	8023	4980
617	8030	4963
618	8037	4946
619	8045	4931
620	8056	4916
621	8067	4902
622	8076	4887
623	8085	4872
624	8091	4855
625	8102	4840
626	8114	4827
627	8120	4810
628	8131	4796
629	8137	4779
630	8153	4767
631	8163	4753
632	8169	4736
633	8178	4721
634	8187	4706
635	8197	4691
636	8205	4675
637	8215	4661
638	8221	4644
639	8228	4628
640	8234	4612
641	8243	4596
642	8248	4579
643	8260	4566
644	8266	4549
645	8273	4533
646	8280	4517
647	8287	4501
648	8296	4487
649	8302	4470
650	8311	4455
651	8318	4440
652	8326	4424
653	8334	4409
654	8341	4393
655	8349	4378
656	8354	4361
657	8360	4345
658	8368	4330
659	8378	4316
660	8386	4300
661	8392	4284
662	8399	4269
663	8408	4254
664	8415	4239
665	8421	4223
666	8437	4212
667	8443	4196
668	8458	4185
669	8470	4172
670	8478	4157
671	8487	4142
672	8497	4128
673	8506	4114
674	8511	4097
675	8516	4081
676	8520	4065
677	8525	4049
678	8530	4032
679	8535	4016
680	8539	4000
681	8544	3984
682	8549	3968
683	8554	3952
684	8558	3935
685	8563	3919
686	8567	3903
687	8572	3887
688	8576	3871
689	8580	3855
690	8585	3839
691	8590	3823
692	8594	3807
693	8599	3791
694	8604	3775
695	8609	3760
696	8614	3745
697	8619	3729
698	8624	3713
699	8628	3698
700	8633	3682
701	8637	3666
702	8641	3651
703	8646	3635
704	8651	3619
705	8655	3604
706	8659	3588
707	8664	3573
708	8668	3558
709	8673	3542
710	8677	3527
711	8682	3511
712	8686	3496
713	8691	3481
714	8695	3466
715	8700	3450
716	8704	3435
717	8709	3420
718	8714	3405
719	8718	3390
720	8723	3375
721	8728	3360
722	8732	3345
723	8736	3330
724	8740	3315
725	8745	3300
726	8749	3285
727	8753	3270
728	8758	3255
729	8762	3240
730	8766	3226
731	8771	3211
732	8775	3196
733	8779	3181
734	8784	3167
735	8788	3152
736	8793	3137
737	8797	3123
738	8802	3108
739	8806	3094
740	8811	3079
741	8815	3065
742	8819	3050
743	8823	3036
744	8828	3021
745	8832	3007
746	8837	2993
747	8841	2978
748	8845	2964
749	8850	2950
750	8854	2935
751	8859	2921
752	8863	2907
753	8867	2893
754	8871	2878
755	8875	2864
756	8880	2850
757	8884	2836
758	8889	2822
759	8894	2808
760	8898	2794
761	8903	2780
762	8907	2766
763	8912	2752
764	8916	2739
765	8921	2725
766	8925	2711
767	8929	2697
768	8933	2683
769	8938	2669
770	8942	2656
771	8946	2642
772	8951	2628
773	8955	2614
774	8959	2601
775	8963	2587
776	8968	2573
777	8972	2560
778	8976	2546
779	8981	2533
780	8985	2519
781	8990	2506
782	8995	2492
783	8999	2479
784	9003	2465
785	9008	2452
786	9012	2439
787	9017	2425
788	9021	2412
789	9025	2399
790	9030	2386
791	9034	2372
792	9038	2359
793	9043	2346
794	9048	2333
795	9052	2320
796	9056	2306
797	9061	2293
798	9065	2280
799	9069	2267
800	9074	2254
801	9078	2241
802	9082	2228
803	9086	2215
804	9091	2202
805	9096	2189
806	9100	2176
807	9104	2163
808	9109	2150
809	9113	2137
810	9118	2125
811	9122	2112
812	9127	2099
813	9131	2086
814	9135	2073
815	9139	2060
816	9144	2048
817	9148	2035
818	9152	2022
819	9156	2010
820	9161	1997
821	9165	1984
822	9170	1972
823	9174	1959
824	9178	1947
825	9182	1934
826	9187	1921
827	9194	1909
828	9200	1897
829	9205	1885
830	9213	1873
831	9219	1861
832	9227	1849
833	9235	1838
834	9242	1826
835	9250	1814
836	9258	1802
837	9264	1790
838	9269	1778
839	9275	1766
840	9282	1754
841	9286	1742
842	9290	1730
843	9294	1718
844	9299	1705
845	9303	1693
846	9308	1681
847	9312	1669
848	9317	1657
849	9321	1645
850	9326	1632
851	9330	1620
852	9334	1608
853	9338	1596
854	9342	1584
855	9346	1572
856	9351	1560
857	9355	1548
858	9359	1536
859	9363	1524
860	9367	1512
861	9371	1500
862	9375	1488
863	9380	1476
864	9385	1464
865	9389	1452
866	9393	1440
867	9397	1429
868	9401	1417
869	9406	1405
870	9410	1393
871	9414	1382
872	9419	1370
873	9423	1358
874	9427	1346
875	9432	1335
876	9436	1323
877	9440	1311
878	9444	1300
879	9448	1288
880	9452	1276
881	9457	1265
882	9461	1253
883	9465	1242
884	9470	1230
885	9474	1219
886	9478	1207
887	9483	1196
888	9487	1184
889	9491	1173
890	9496	1161
891	9501	1150
892	9505	1138
893	9509	1127
894	9514	1116
895	9518	1104
896	9522	1093
897	9526	1082
898	9531	1070
899	9535	1059
900	9541	1048
901	9546	1037
902	9550	1025
903	9554	1014
904	9558	1003
905	9562	992
906	9566	980
907	9570	969
908	9574	958
909	9578	947
910	9583	936
911	9586	925
912	9590	913
913	9594	902
914	9599	891
915	9602	880
916	9607	869
917	9611	858
918	9615	847
919	9619	836
920	9623	825
921	9627	814
922	9631	803
923	9634	792
924	9638	781
925	9642	770
926	9646	759
927	9649	748
928	9653	737
929	9657	726
930	9661	716
931	9665	705
932	9668	694
933	9672	683
934	9676	672
935	9679	661
936	9683	651
937	9687	640
938	9691	629
939	9694	618
940	9698	608
941	9702	597
942	9706	586
943	9710	576
944	9713	565
945	9717	554
946	9721	544
947	9724	533
948	9728	522
949	9732	512
950	9735	501
951	9739	491
952	9742	480
953	9746	469
954	9750	459
955	9753	448
956	9757	438
957	9761	427
